Tiempo(ms),RPM,pwm
14340,1500.0,2937
14344,1500.0,2937
14348,1500.0,2937
14352,1500.0,2937
14356,2250.0,2937
14360,1500.0,2937
14364,1500.0,2937
14368,1500.0,2937
14372,1500.0,2937
14376,1500.0,2937
14380,1500.0,2937
14384,1500.0,2937
14388,1500.0,2937
14392,1500.0,2937
14396,1500.0,2937
14400,750.0,2937
14404,1500.0,2937
14408,1500.0,2937
14412,1500.0,2937
14416,1500.0,2937
14420,750.0,2937
14424,1500.0,2937
14428,1500.0,2937
14432,750.0,2937
14436,1500.0,2937
14440,1500.0,2937
14444,750.0,2937
14448,1500.0,2937
14452,750.0,2937
14456,1500.0,2937
14460,750.0,2937
14464,1500.0,2937
14468,750.0,2937
14472,1500.0,2937
14476,750.0,2937
14480,1500.0,2937
14484,750.0,2937
14488,750.0,2937
14492,750.0,2937
14496,1500.0,2937
14500,750.0,2937
14504,750.0,2937
14508,750.0,2937
14512,1500.0,2937
14516,750.0,2937
14520,750.0,2937
14524,750.0,2937
14528,750.0,2937
14532,750.0,2937
14536,750.0,2937
14540,750.0,2937
14544,1500.0,2937
14548,750.0,2937
14552,750.0,2937
14556,0.0,2937
14560,750.0,2937
14564,750.0,2937
14568,750.0,2937
14572,750.0,2937
14576,750.0,2937
14580,750.0,2937
14584,750.0,2937
14588,0.0,2937
14592,750.0,2937
14596,750.0,2937
14600,750.0,2937
14604,0.0,2937
14608,750.0,2937
14612,750.0,2937
14616,0.0,2937
14620,750.0,2937
14624,750.0,2937
14628,0.0,2937
14632,750.0,2937
14636,750.0,2937
14640,0.0,2937
14644,750.0,2937
14648,0.0,2937
14652,750.0,2937
14656,0.0,2937
14660,750.0,2937
14664,0.0,2937
14668,750.0,2937
14672,0.0,2937
14676,750.0,2937
14680,0.0,2937
14684,0.0,2937
14688,750.0,2937
14692,0.0,2937
14696,0.0,2937
14700,750.0,2937
14704,0.0,2937
14708,0.0,2937
14712,750.0,2937
14716,0.0,2937
14720,0.0,2937
14724,0.0,2937
14728,0.0,2937
14732,750.0,2937
14736,0.0,2937
14740,0.0,2937
14744,0.0,2937
14748,750.0,2937
14752,0.0,2937
14756,0.0,2937
14760,0.0,2937
14764,0.0,2937
14768,0.0,2937
14772,0.0,2937
14776,0.0,2937
14780,1500.0,2937
14784,0.0,2937
14788,0.0,2937
14792,0.0,2937
14796,0.0,2937
14800,0.0,2937
14804,0.0,2937
14808,0.0,2937
14812,0.0,2937
14816,0.0,2937
14820,0.0,2937
14824,0.0,2937
14828,0.0,2937
14832,0.0,2937
14836,0.0,2937
14840,0.0,2937
14844,0.0,2937
14848,0.0,2937
14852,0.0,2937
14856,0.0,2937
14860,0.0,2937
14864,0.0,2937
14868,0.0,2937
14872,0.0,2937
14876,0.0,2937
14880,0.0,2937
14884,0.0,2937
14888,0.0,2937
14892,0.0,2937
14896,0.0,2937
14900,0.0,2937
14904,0.0,2937
