Tiempo(ms),RPM
12466,11250.00
12470,11250.00
12474,11250.00
12478,10500.00
12482,11250.00
12486,11250.00
12490,11250.00
12494,11250.00
12498,11250.00
12502,10500.00
12506,11250.00
12510,11250.00
12514,11250.00
12518,11250.00
12522,11250.00
12526,11250.00
12530,11250.00
12534,10500.00
12538,11250.00
12542,11250.00
12546,11250.00
12550,11250.00
12554,11250.00
12558,11250.00
12562,11250.00
12566,11250.00
12570,11250.00
12574,11250.00
12578,11250.00
12582,11250.00
12586,11250.00
12590,11250.00
12594,11250.00
12598,11250.00
12602,11250.00
12606,11250.00
12610,11250.00
12614,11250.00
12618,11250.00
12622,12000.00
12626,11250.00
12630,11250.00
12634,11250.00
12638,11250.00
12642,11250.00
12646,11250.00
12650,11250.00
12654,12000.00
12658,11250.00
12662,11250.00
12666,11250.00
12670,11250.00
12674,11250.00
12678,12000.00
12682,11250.00
12686,11250.00
12690,11250.00
12694,11250.00
12698,11250.00
12702,12000.00
12706,11250.00
12710,11250.00
12714,11250.00
12718,11250.00
12722,12000.00
12726,11250.00
12730,11250.00
12734,11250.00
12738,12000.00
12742,11250.00
12746,11250.00
12750,11250.00
12754,12000.00
12758,11250.00
12762,11250.00
12766,11250.00
12770,12000.00
12774,11250.00
12778,12000.00
12782,11250.00
12786,11250.00
12790,11250.00
12794,12000.00
12798,11250.00
12802,11250.00
12806,12000.00
12810,11250.00
12814,11250.00
12818,12000.00
12822,11250.00
12826,11250.00
12830,12000.00
12834,11250.00
12838,11250.00
12842,12000.00
12846,11250.00
12850,11250.00
12854,12000.00
12858,11250.00
12862,12000.00
12866,11250.00
12870,11250.00
12874,12000.00
12878,11250.00
12882,12000.00
12886,11250.00
12890,11250.00
12894,12000.00
12898,11250.00
12902,11250.00
12906,12000.00
12910,11250.00
12914,12000.00
12918,11250.00
12922,12000.00
12926,11250.00
12930,12000.00
12934,11250.00
12938,11250.00
12942,12000.00
12946,11250.00
12950,12000.00
12954,11250.00
12958,12000.00
12962,11250.00
12966,12000.00
12970,11250.00
12974,11250.00
12978,12000.00
12982,11250.00
12986,12000.00
12990,11250.00
12994,12000.00
12998,11250.00
13002,12000.00
13006,11250.00
13010,12000.00
13014,11250.00
13018,12000.00
13022,11250.00
13026,12000.00
13030,11250.00
13034,12000.00
13038,11250.00
13042,12000.00
13046,11250.00
13050,12000.00
13054,12000.00
13058,11250.00
13062,11250.00
13066,12000.00
13070,12000.00
13074,11250.00
13078,12000.00
13082,11250.00
13086,12000.00
13090,11250.00
13094,12000.00
13098,11250.00
13102,12000.00
13106,12000.00
13110,11250.00
13114,12000.00
13118,11250.00
13122,12000.00
13126,11250.00
13130,12000.00
13134,11250.00
13138,12000.00
13142,12000.00
13146,11250.00
13150,12000.00
13154,11250.00
13158,12000.00
13162,12000.00
13166,11250.00
13170,12000.00
13174,11250.00
13178,12000.00
13182,12000.00
13186,11250.00
13190,12000.00
13194,11250.00
13198,12000.00
13202,12000.00
13206,11250.00
13210,12000.00
13214,12000.00
13218,11250.00
